Lis Penden Filings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,Jan,,Feb,,Mar,,Qtr 1,,Apr,,May,,Jun,,Qrt 2,,Jul,,Aug,,Sept,,Qtr 3,,Oct,,Nov,,Dec,,Qtr 4,,Total 2008
Andover,,0,,0,,3,3,,,1,,0,,2,,3,,0,,1,,1,2,,,0,,1,,0,,1,9
Ansonia,,7,,1,,9,17,,,9,,11,,13,,33,,6,,15,,9,30,,,2,,17,,12,,31,111
Ashford,,2,,3,,5,10,,,1,,1,,2,,4,,2,,3,,5,10,,,0,,3,,1,,4,28
Avon,,4,,0,,3,7,,,3,,3,,5,,11,,2,,6,,4,12,,,5,,2,,5,,12,42
Barkhamsted,,0,,2,,0,2,,,0,,3,,0,,3,,1,,0,,1,2,,,0,,1,,2,,3,10
Beacon Falls,,4,,0,,3,7,,,1,,2,,4,,7,,0,,5,,2,7,,,0,,3,,0,,3,24
Berlin,,3,,7,,4,14,,,3,,5,,3,,11,,3,,5,,1,9,,,3,,2,,4,,9,43
Bethany,,1,,0,,2,3,,,1,,0,,4,,5,,0,,4,,0,4,,,0,,1,,0,,1,13
Bethel,,3,,3,,5,11,,,10,,7,,8,,25,,6,,8,,4,18,,,10,,7,,4,,21,75
Bethlehem,,1,,1,,1,3,,,3,,0,,1,,4,,0,,0,,0,0,,,0,,2,,1,,3,10
Bloomfield,,19,,9,,17,45,,,9,,16,,10,,35,,8,,9,,11,28,,,6,,13,,14,,33,141
Bolton,,0,,0,,1,1,,,1,,1,,1,,3,,0,,4,,1,5,,,0,,1,,1,,2,11
Bozrah,,0,,0,,1,1,,,1,,0,,1,,2,,0,,0,,0,0,,,0,,4,,2,,6,9
Branford,,5,,8,,11,24,,,9,,8,,7,,24,,14,,17,,6,37,,,7,,10,,7,,24,109
Bridgeport,,53,,93,,129,275,,,74,,62,,59,,195,,58,,147,,166,371,,,36,,136,,118,,290,1131
Bridgewater,,0,,0,,0,0,,,1,,1,,0,,2,,0,,0,,0,0,,,1,,0,,0,,1,3
Bristol,,22,,24,,33,79,,,24,,24,,18,,66,,23,,14,,23,60,,,12,,36,,39,,87,292
Brookfield,,6,,4,,4,14,,,6,,1,,5,,12,,5,,12,,8,25,,,1,,4,,4,,9,60
Brooklyn,,3,,3,,4,10,,,4,,5,,4,,13,,2,,5,,7,14,,,8,,3,,5,,16,53
Burlington,,2,,0,,0,2,,,4,,3,,2,,9,,1,,2,,5,8,,,2,,2,,3,,7,26
Canaan,,0,,0,,1,1,,,1,,0,,0,,1,,0,,0,,1,1,,,0,,0,,0,,0,3
Canterbury,,0,,4,,5,9,,,2,,2,,4,,8,,0,,4,,3,7,,,3,,5,,7,,15,39
Canton,,1,,2,,3,6,,,1,,0,,0,,1,,3,,4,,0,7,,,1,,1,,1,,3,17
Chaplin,,1,,0,,1,2,,,1,,1,,2,,4,,1,,2,,1,4,,,0,,1,,0,,1,11
Cheshire,,8,,3,,8,19,,,5,,3,,9,,17,,4,,8,,6,18,,,2,,6,,4,,12,66
Chester,,0,,0,,0,0,,,1,,3,,1,,5,,0,,1,,0,1,,,0,,0,,0,,0,6
Clinton,,1,,6,,5,12,,,7,,0,,5,,12,,0,,7,,4,11,,,1,,7,,6,,14,49
Colchester,,7,,1,,6,14,,,3,,1,,6,,10,,5,,6,,7,18,,,8,,13,,8,,29,71
Colebrook,,0,,0,,1,1,,,0,,0,,2,,2,,1,,2,,0,3,,,0,,2,,0,,2,8
Columbia,,0,,0,,2,2,,,0,,1,,0,,1,,0,,2,,3,5,,,0,,4,,0,,4,12
Cornwall,,1,,0,,1,2,,,0,,1,,0,,1,,0,,1,,0,1,,,0,,1,,1,,2,6
Coventry,,2,,3,,8,13,,,5,,4,,5,,14,,3,,1,,5,9,,,1,,1,,6,,8,44
Cromwell,,0,,2,,9,11,,,3,,5,,5,,13,,1,,2,,5,8,,,5,,3,,6,,14,46
Danbury,,11,,19,,38,68,,,36,,28,,21,,85,,25,,38,,24,87,,,29,,35,,12,,76,316
Lis Penden Filings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,Jan,,Feb,,Mar,,Qtr 1,,Apr,,May,,Jun,,Qrt 2,,Jul,,Aug,,Sept,,Qtr 3,,Oct,,Nov,,Dec,,Qtr 4,,Total 2008
Darien,,0,,2,,5,7,,,4,,4,,3,,11,,1,,1,,3,5,,,0,,3,,4,,7,30
Deep River,,1,,0,,1,2,,,1,,1,,1,,3,,0,,1,,2,3,,,2,,0,,1,,3,11
Derby,,3,,0,,11,14,,,7,,4,,8,,19,,0,,11,,3,14,,,2,,9,,6,,17,64
Durham,,1,,0,,3,4,,,3,,3,,0,,6,,4,,3,,1,8,,,1,,2,,3,,6,24
East Granby,,3,,0,,3,6,,,0,,0,,0,,0,,0,,2,,0,2,,,0,,10,,2,,12,20
East Haddam,,1,,3,,5,9,,,2,,5,,1,,8,,4,,2,,1,7,,,1,,2,,2,,5,29
East Hampton,,3,,1,,1,5,,,7,,4,,4,,15,,4,,6,,3,13,,,5,,6,,7,,18,51
East Hartford,,26,,23,,44,93,,,30,,19,,23,,72,,17,,28,,29,74,,,13,,33,,38,,84,323
East Haven,,17,,13,,23,53,,,16,,20,,15,,51,,2,,19,,6,27,,,7,,24,,23,,54,185
East Lyme,,2,,1,,2,5,,,1,,4,,1,,6,,6,,1,,2,9,,,2,,7,,5,,14,34
East Windsor,,1,,0,,0,1,,,1,,3,,2,,6,,3,,1,,2,6,,,2,,6,,1,,9,22
Eastford,,0,,0,,2,2,,,0,,1,,0,,1,,0,,1,,0,1,,,0,,3,,1,,4,8
Easton,,0,,0,,0,0,,,4,,0,,4,,8,,0,,3,,4,7,,,1,,2,,3,,6,21
Ellington,,3,,0,,3,6,,,0,,1,,1,,2,,1,,1,,1,3,,,1,,5,,5,,11,22
Enfield,,15,,11,,23,49,,,14,,15,,13,,42,,12,,15,,12,39,,,10,,16,,24,,50,180
Essex,,0,,1,,1,2,,,3,,5,,1,,9,,2,,2,,1,5,,,1,,1,,0,,2,18
Fairfield,,10,,3,,13,26,,,14,,3,,13,,30,,10,,15,,6,31,,,9,,4,,17,,30,117
Farmington,,4,,3,,8,15,,,1,,5,,4,,10,,3,,5,,6,14,,,1,,4,,10,,15,54
Franklin,,0,,0,,1,1,,,1,,0,,0,,1,,0,,2,,1,3,,,0,,1,,1,,2,7
Glastonbury,,4,,3,,8,15,,,5,,5,,7,,17,,4,,10,,2,16,,,5,,9,,3,,17,65
Goshen,,0,,0,,2,2,,,0,,1,,0,,1,,0,,0,,0,0,,,0,,0,,1,,1,4
Granby,,1,,0,,1,2,,,3,,4,,3,,10,,2,,1,,1,4,,,3,,5,,5,,13,29
Greenwich,,8,,2,,8,18,,,10,,9,,7,,26,,15,,13,,3,31,,,6,,10,,11,,27,102
Griswold,,3,,10,,5,18,,,6,,2,,8,,16,,6,,7,,7,20,,,3,,7,,4,,14,68
Groton,,11,,3,,7,21,,,6,,9,,2,,17,,4,,13,,11,28,,,8,,3,,9,,20,86
Guilford,,11,,0,,4,15,,,4,,5,,4,,13,,7,,3,,3,13,,,6,,3,,7,,16,57
Haddam,,1,,2,,3,6,,,1,,3,,3,,7,,1,,1,,1,3,,,2,,1,,5,,8,24
Hamden,,16,,16,,27,59,,,32,,22,,29,,83,,45,,35,,19,99,,,18,,19,,29,,66,307
Hampton,,1,,0,,0,1,,,0,,0,,2,,2,,2,,0,,0,2,,,0,,2,,0,,2,7
Hartford,,40,,53,,45,138,,,41,,25,,38,,104,,42,,44,,21,107,,,30,,56,,60,,146,495
Hartland,,0,,0,,2,2,,,1,,0,,0,,1,,0,,3,,0,3,,,2,,1,,1,,4,10
Harwinton,,0,,1,,0,1,,,0,,5,,0,,5,,3,,0,,1,4,,,0,,1,,2,,3,13
Hebron,,1,,0,,4,5,,,1,,3,,1,,5,,2,,3,,0,5,,,0,,0,,3,,3,18
Kent,,0,,0,,1,1,,,0,,0,,4,,4,,0,,5,,1,6,,,0,,0,,0,,0,11
Lis Penden Filings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,Jan,,Feb,,Mar,,Qtr 1,,Apr,,May,,Jun,,Qrt 2,,Jul,,Aug,,Sept,,Qtr 3,,Oct,,Nov,,Dec,,Qtr 4,,Total 2008
Killingly,,6,,9,,9,24,,,7,,5,,17,,29,,4,,16,,5,25,,,14,,8,,9,,31,109
Killingworth,,1,,0,,2,3,,,2,,2,,2,,6,,8,,0,,1,9,,,0,,1,,1,,2,20
Lebanon,,3,,1,,4,8,,,2,,7,,4,,13,,1,,2,,2,5,,,2,,2,,3,,7,33
Ledyard,,0,,4,,3,7,,,6,,2,,5,,13,,2,,9,,4,15,,,3,,7,,3,,13,48
